Период: 01.01.2026-20.03.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
88782520-0111-1;02.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-10,00 ?
88782520-0111-1;02.01.2026;Услуги доставки;Логистика;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-99,64 ?
88782520-0111-1;02.01.2026;Продажи;Выручка;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;798,29 ?
88782520-0111-1;02.01.2026;Продажи;Программы партнёров;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;7,98 ?
88782520-0111-1;02.01.2026;Продажи;Баллы за скидки;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;470,73
88782520-0111-1;02.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-446,95 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-20,00 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Доставка до места выдачи;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-6,58 ?
88782520-0111-1;02.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;23.12.2025;;;0%;;;-100,00 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Звёздные товары;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;0,00 ?;23.12.2025;Ozon;FBS;0%;;;-6,39 ?
57279769-0272;04.01.2026;Услуги партнёров;Эквайринг;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;0,00 ?;04.01.2026;;;0%;;;-54,88 ?
15186171-0258;05.01.2026;Услуги партнёров;Эквайринг;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;0,00 ?;05.01.2026;;;0%;;;-39,38 ?
0141113820-0134-1;06.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;-10,00 ?
0141113820-0134-1;06.01.2026;Услуги доставки;Логистика;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;-98,00 ?
0141113820-0134-1;06.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;-20,00 ?
0141113820-0134-1;06.01.2026;Услуги партнёров;Доставка до места выдачи;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;-18,08 ?
0141113820-0134-1;06.01.2026;Услуги доставки;Обработка отменённых и невостребованных товаров;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;0,00 ?
0141113820-0134-1;06.01.2026;Услуги доставки;Обратная логистика;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;27.11.2025;Ozon;FBS;0%;;;-98,00 ?
;07.01.2026;Продвижение и реклама;Баллы за отзывы;;;;0;0,00 ?;07.01.2026;;;0%;;;-219,60 ?
63350396-0350;08.01.2026;Услуги партнёров;Эквайринг;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;0,00 ?;08.01.2026;;;0%;;;-16,14 ?
06829356-0260;08.01.2026;Услуги партнёров;Эквайринг;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;0,00 ?;08.01.2026;;;0%;;;-8,11 ?
19822834-0744;09.01.2026;Услуги партнёров;Эквайринг;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;0,00 ?;09.01.2026;;;0%;;;-28,10 ?
11225534-0119;13.01.2026;Услуги партнёров;Эквайринг;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;0,00 ?;13.01.2026;;;0%;;;-15,33 ?
06829356-0260-3;15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-10,00 ?
06829356-0260-3;15.01.2026;Услуги доставки;Логистика;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-99,64 ?
06829356-0260-3;15.01.2026;Продажи;Выручка;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;1 510,58 ?
06829356-0260-3;15.01.2026;Продажи;Программы партнёров;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;0,00 ?
06829356-0260-3;15.01.2026;Продажи;Баллы за скидки;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;546,42
06829356-0260-3;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-719,95 ?
06829356-0260-3;15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-20,00 ?
06829356-0260-3;15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;08.01.2026;;;0%;;;-100,00 ?
15186171-0258-1;15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-10,00 ?
15186171-0258-1;15.01.2026;Услуги доставки;Логистика;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-141,33 ?
15186171-0258-1;15.01.2026;Продажи;Выручка;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;2 072,38 ?
15186171-0258-1;15.01.2026;Продажи;Программы партнёров;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;20,72 ?
15186171-0258-1;15.01.2026;Продажи;Баллы за скидки;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;1 181,90
15186171-0258-1;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-1 146,25 ?
15186171-0258-1;15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-20,00 ?
15186171-0258-1;15.01.2026;Услуги партнёров;Доставка до места выдачи;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-12,67 ?
15186171-0258-1;15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;05.01.2026;;;0%;;;-100,00 ?
67583879-0759-10;15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-10,00 ?
67583879-0759-10;15.01.2026;Услуги доставки;Логистика;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-117,94 ?
67583879-0759-10;15.01.2026;Продажи;Выручка;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;794,48 ?
67583879-0759-10;15.01.2026;Продажи;Программы партнёров;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;7,94 ?
67583879-0759-10;15.01.2026;Продажи;Баллы за скидки;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;567,58
67583879-0759-10;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-479,50 ?
67583879-0759-10;15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-20,00 ?
67583879-0759-10;15.01.2026;Услуги партнёров;Доставка до места выдачи;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-10,12 ?
67583879-0759-10;15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;31.12.2025;;;0%;;;-50,00 ?
19822834-0744-1;16.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;09.01.2026;;;0%;;;-100,00 ?
19822834-0744-1;16.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;35%;;;-10,00 ?
19822834-0744-1;16.01.2026;Услуги доставки;Логистика;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;35%;;;-99,64 ?
19822834-0744-1;16.01.2026;Продажи;Выручка;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;0%;;;1 479,05 ?
19822834-0744-1;16.01.2026;Продажи;Программы партнёров;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;0%;;;14,79 ?
19822834-0744-1;16.01.2026;Продажи;Баллы за скидки;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;0%;;;707,16
19822834-0744-1;16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;35%;;;-770,35 ?
19822834-0744-1;16.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;35%;;;-20,00 ?
19822834-0744-1;16.01.2026;Услуги партнёров;Доставка до места выдачи;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;2 201,00 ?;09.01.2026;Ozon;FBS;35%;;;-25,00 ?
25857756398;16.01.2026;Услуги партнёров;Временное размещение товара партнерами;DU-42C;1429362371;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ?;16.01.2026;;;0%;;;-84,00 ?
63350396-0350-2;16.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;35%;;;-10,00 ?
63350396-0350-2;16.01.2026;Услуги доставки;Логистика;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;35%;;;-117,94 ?
63350396-0350-2;16.01.2026;Продажи;Выручка;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;0%;;;849,22 ?
63350396-0350-2;16.01.2026;Продажи;Программы партнёров;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;0%;;;8,49 ?
63350396-0350-2;16.01.2026;Продажи;Баллы за скидки;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;0%;;;512,29
63350396-0350-2;16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;35%;;;-479,50 ?
63350396-0350-2;16.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;35%;;;-20,00 ?
63350396-0350-2;16.01.2026;Услуги партнёров;Доставка до места выдачи;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;08.01.2026;Ozon;FBS;35%;;;-6,68 ?
63350396-0350-2;16.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;08.01.2026;;;0%;;;-100,00 ?
57279769-0272-1;17.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;35%;;;-10,00 ?
57279769-0272-1;17.01.2026;Услуги доставки;Логистика;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;35%;;;-141,33 ?
57279769-0272-1;17.01.2026;Продажи;Выручка;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;0%;;;2 888,57 ?
57279769-0272-1;17.01.2026;Продажи;Программы партнёров;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;0%;;;28,89 ?
57279769-0272-1;17.01.2026;Продажи;Баллы за скидки;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;0%;;;1 482,54
57279769-0272-1;17.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;35%;;;-1 540,00 ?
57279769-0272-1;17.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;35%;;;-20,00 ?
57279769-0272-1;17.01.2026;Услуги партнёров;Доставка до места выдачи;DU-42C-1;1429370337;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ?;04.01.2026;Ozon;FBS;35%;;;-25,00 ?
57279769-0272-1;17.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;04.01.2026;;;0%;;;-100,00 ?
0180050335-0017;20.01.2026;Услуги партнёров;Эквайринг;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;0,00 ?;20.01.2026;;;0%;;;-11,09 ?
11225534-0119-1;23.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;13.01.2026;Ozon;FBS;35%;;;-10,00 ?
11225534-0119-1;23.01.2026;Услуги доставки;Логистика;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;13.01.2026;Ozon;FBS;35%;;;-117,94 ?
11225534-0119-1;23.01.2026;Продажи;Выручка;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;13.01.2026;Ozon;FBS;0%;;;806,60 ?
